Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,WMT,GOOGL,AMZN,AABA
2006-01-03,77.76,51.7,10.34,70.4,57.87,57.25,17.21,20.4,24.08,56.42,35.1,126.7,40.39,82.45,25.19,61.07,39.83,34.29,32.52,26.25,10.85,23.65,58.3,44.85,56.45,62.6,30.2,46.36,211.47,47.47,39.69
2006-01-04,79.49,52.44,10.73,70.08,57.95,59.08,17.48,20.5,24.5,58.6,35.35,127.35,40.94,82.2,25.6,61.93,39.78,33.43,32.75,26.77,10.71,23.97,58.8,45.99,56.8,61.89,30.57,46.24,222.17,47.48,41.22
2006-01-05,78.41,51.9,10.69,70.55,59.02,58.68,17.94,20.36,24.13,58.57,35.27,126,40.1,81.4,25.93,62.57,39.61,33.82,32.92,26.96,10.69,24.55,58.7,46.79,56.3,62.23,31.28,46,223.22,47.16,40.93
2006-01-06,78.64,52.64,10.75,70.34,59.47,58.95,18.51,20.53,24.65,58.76,35.38,127.29,40.25,83.95,26.48,62.36,39.92,34.23,33.09,26.89,10.79,24.7,58.74,47,56.45,62.75,31.6,45.69,228.66,47.97,42.88
2006-01-09,78.5,52.82,10.96,69.28,60.45,59.49,18.97,20.74,24.85,59.8,35.4,128.5,40.8,84.1,26.39,62.52,39.88,34,33.22,26.93,10.72,24.98,58.45,46.71,56.37,62.9,31.39,45.89,233.44,46.55,43.1
2006-01-10,79,53.58,10.89,68.8,61.35,58.76,18.87,20.59,25.02,59.2,35.27,130.05,41.04,83.15,26.29,62.52,40.5,34.61,33.45,26.65,10.81,24.73,58.89,47.05,56.44,61.45,31.8,45.5,232.44,46.41,42.96
2006-01-11,78.44,53.7,11.98,69.97,60.87,59.22,18.98,20.83,25.38,59.68,35.14,131.45,42,84.37,26.13,62.96,40.73,34.82,33.49,27.01,10.91,24.6,58.94,47.18,56.7,62.6,31.8,46.06,235.87,45.65,42.19
2006-01-12,78.2,53.58,12.14,70.25,61.23,60,19.27,20.64,25.65,60.5,35.45,131.4,42.7,83.82,26.05,62.5,40.25,35.25,33.56,27.25,11.02,24.77,58.98,47.68,55.75,61.9,32.05,46.25,237.1,44.79,41.92
2006-01-13,76.95,53.7,12.14,69.64,62.02,59.89,19.13,20.69,25.61,59.51,34.9,132.02,41.91,83,25.96,61.9,39.78,34.65,33.53,27.03,10.84,24.69,58.41,47.38,55.55,61.34,32.28,45.68,232.39,44.48,41
2006-01-17,77.1,53.08,12.24,69.07,61.69,60.9,18.7,20.54,25.83,61.26,35.63,131,41.5,82.8,25.59,61.31,39.48,34.72,33.11,26.9,10.8,24.51,58.45,47.1,55.85,60.2,31.92,45.4,231.76,43.95,39.09
